Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T051_001,SE_T051_002,SE_T051_003,SE_T051_004,SE_T051_005,SE_T051_006,SE_T051_007,SE_T051_008,SE_T051_009,SE_T051_010,SE_T051_011,SE_T051_012,SE_T051_013,SE_T051_014,SE_T052_001,SE_T052_002,SE_T052_003,SE_T052_004,SE_T052_005,SE_T052_006,SE_T052_007,SE_T052_008,SE_T052_009,SE_T052_010,SE_T052_011,SE_T052_012,SE_T052_013,SE_T052_014,SE_T054_001,SE_T054_002,SE_T054_003,SE_T054_004,SE_T054_005,SE_T054_006,SE_T055_001,SE_T055_002,SE_T055_003,SE_T055_004,SE_T055_005,SE_T055_006
1001,05000US01001,"Autauga County, Alabama","Autauga County, Alabama",al,50,0,ACSSF,13,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55136,55136,92.75346,594.4360885,12810,1827,1775,2,662,462,487,151,1326,724,160,2039,1438,1757,11333,1322,2878,527,141,537,254,835,1439,2647,0,65,415,273,12810,8816,2585,848,520,41,11333,6853,2231,948,1301,0
1003,05000US01003,"Baldwin County, Alabama","Baldwin County, Alabama",al,50,0,ACSSF,14,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191205,191205,120.271,1589.78407,44887,6716,6760,148,1187,2351,2545,416,5198,2319,424,8969,3872,3982,38643,4662,9638,1302,214,3423,1605,1780,6374,7833,101,539,761,411,44887,32786,4605,5946,1444,106,38643,25914,6147,2805,3565,212
1005,05000US01005,"Barbour County, Alabama","Barbour County, Alabama",al,50,0,ACSSF,15,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27119,27119,30.64722,884.8763037,4798,383,607,0,254,117,244,21,454,415,141,826,727,609,4439,487,1015,334,73,281,149,162,553,802,3,25,475,80,4798,2951,976,730,139,2,4439,2834,970,363,269,3
1007,05000US01007,"Bibb County, Alabama","Bibb County, Alabama",al,50,0,ACSSF,16,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22653,22653,36.38555,622.5823317,4676,321,438,0,153,64,281,18,301,272,35,1120,901,772,3278,161,780,273,4,236,209,113,315,682,23,158,133,191,4676,3484,458,533,201,0,3278,2037,722,105,392,22
1009,05000US01009,"Blount County, Alabama","Blount County, Alabama",al,50,0,ACSSF,17,,,,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57645,57645,89.40315,644.7759048,12631,1312,1197,24,374,215,548,30,1309,788,258,2720,1733,2123,9801,940,2715,483,67,640,169,586,902,2332,28,71,589,279,12631,9290,1144,1466,655,76,9801,6833,1651,513,760,44
1011,05000US01011,"Bullock County, Alabama","Bullock County, Alabama",al,50,0,ACSSF,18,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10693,10693,17.1691,622.8047759,2115,267,125,0,75,72,133,0,72,26,300,359,395,291,1730,146,251,141,36,44,37,90,343,327,60,0,221,34,2115,1667,180,265,3,0,1730,1078,381,38,233,0
1013,05000US01013,"Butler County, Alabama","Butler County, Alabama",al,50,0,ACSSF,19,,,,,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20523,20523,26.41895,776.8286309,3639,415,377,7,109,97,151,65,243,134,68,664,704,605,4109,424,876,272,49,400,129,121,532,660,0,41,592,13,3639,2538,564,404,129,4,4109,3030,730,192,149,8
1015,05000US01015,"Calhoun County, Alabama","Calhoun County, Alabama",al,50,0,ACSSF,20,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117186,117186,193.4185,605.8676782,24659,2438,3202,86,892,1229,1441,231,2129,1421,163,4145,3928,3354,21651,2045,4931,964,270,1443,652,1342,3003,4603,15,330,1495,558,24659,16056,5250,2386,967,0,21651,13910,4576,1380,1739,46
1017,05000US01017,"Chambers County, Alabama","Chambers County, Alabama",al,50,0,ACSSF,21,,,,,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34091,34091,57.1487,596.5314434,6825,643,761,0,203,199,342,10,557,357,91,1499,1215,948,6385,726,1269,177,22,503,137,248,740,1670,2,106,598,187,6825,5437,670,480,238,0,6385,4769,1008,282,324,2
1019,05000US01019,"Cherokee County, Alabama","Cherokee County, Alabama",al,50,0,ACSSF,22,,,,,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26042,26042,47.0327,553.6998256,5872,867,589,6,179,113,228,15,407,282,117,1239,900,930,4568,342,1312,257,23,305,102,211,712,740,0,36,326,202,5872,3866,938,931,130,7,4568,3034,935,285,268,46
1021,05000US01021,"Chilton County, Alabama","Chilton County, Alabama",al,50,0,ACSSF,23,,,,,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43781,43781,63.18936,692.8540148,10168,1424,899,26,356,256,518,41,789,596,193,2372,1385,1313,7514,889,1557,224,70,484,276,402,1310,1629,25,100,368,180,10168,7655,1367,794,292,60,7514,4779,1642,735,334,24
1023,05000US01023,"Choctaw County, Alabama","Choctaw County, Alabama",al,50,0,ACSSF,24,,,,,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13546,13546,14.82868,913.5003004,2549,274,275,0,49,32,88,50,64,153,148,619,481,316,2145,201,532,183,21,180,25,97,246,441,0,24,118,77,2549,2022,296,152,76,3,2145,1374,492,158,115,6
1025,05000US01025,"Clarke County, Alabama","Clarke County, Alabama",al,50,0,ACSSF,25,,,,,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25331,25331,20.45354,1238.465043,4107,327,382,0,199,109,238,25,195,342,80,864,656,690,4181,287,925,177,41,272,194,97,760,755,11,10,232,420,4107,3131,588,225,163,0,4181,2986,670,207,318,0
1027,05000US01027,"Clay County, Alabama","Clay County, Alabama",al,50,0,ACSSF,26,,,,,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13617,13617,22.54615,603.9612106,2661,352,165,15,102,11,72,35,119,254,102,519,606,309,2441,192,485,157,16,109,73,80,198,579,0,36,404,112,2661,1869,358,379,55,0,2441,1636,490,135,174,6
1029,05000US01029,"Cleburne County, Alabama","Cleburne County, Alabama",al,50,0,ACSSF,27,,,,,1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14990,14990,26.76307,560.1002012,3347,466,288,12,43,78,198,14,184,166,167,857,513,361,2502,187,626,99,16,185,26,169,487,458,23,2,198,26,3347,2473,349,467,58,0,2502,1784,489,74,126,29
1031,05000US01031,"Coffee County, Alabama","Coffee County, Alabama",al,50,0,ACSSF,28,,,,,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50726,50726,74.71003,678.9717821,10714,1107,1935,52,455,595,481,81,891,671,355,2130,892,1069,9400,901,2479,379,126,814,301,452,1323,1899,43,108,429,146,10714,6736,2569,1054,276,79,9400,5735,2381,732,543,9
1033,05000US01033,"Colbert County, Alabama","Colbert County, Alabama",al,50,0,ACSSF,29,,,,,1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54491,54491,91.94939,592.6194685,11640,1101,1360,35,277,401,724,47,1189,675,124,2214,1831,1662,9631,802,2419,395,62,659,278,387,1260,2357,0,48,728,236,11640,7968,1697,1375,576,24,9631,6368,1717,535,1011,0
1035,05000US01035,"Conecuh County, Alabama","Conecuh County, Alabama",al,50,0,ACSSF,30,,,,,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12985,12985,15.27366,850.1563158,1918,84,222,2,25,124,136,6,169,165,63,376,260,286,1669,160,239,214,44,83,52,140,139,348,0,4,201,45,1918,1281,301,286,48,2,1669,1270,243,129,21,6
1037,05000US01037,"Coosa County, Alabama","Coosa County, Alabama",al,50,0,ACSSF,31,,,,,1,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11247,11247,17.27846,650.9262097,2319,178,106,16,112,67,151,52,130,178,5,483,474,367,1574,78,418,92,23,112,22,92,174,358,0,0,172,33,2319,1714,362,185,58,0,1574,1038,438,85,13,0
1039,05000US01039,"Covington County, Alabama","Covington County, Alabama",al,50,0,ACSSF,32,,,,,1,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37881,37881,36.76138,1030.45637,7927,835,787,14,308,174,272,37,615,424,310,2225,784,1142,6791,578,1524,313,59,474,325,390,930,1425,26,41,540,166,7927,5726,1060,909,214,18,6791,4502,1392,574,283,40
1041,05000US01041,"Crenshaw County, Alabama","Crenshaw County, Alabama",al,50,0,ACSSF,33,,,,,1,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13938,13938,22.89272,608.8399112,3083,399,328,3,75,12,206,15,218,154,104,567,515,487,2507,262,522,110,14,87,48,135,377,621,10,28,225,68,3083,2116,477,339,142,9,2507,1713,498,156,133,7
1043,05000US01043,"Cullman County, Alabama","Cullman County, Alabama",al,50,0,ACSSF,34,,,,,1,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80668,80668,109.7762,734.8405815,17877,1882,2293,84,488,537,860,173,1605,892,368,3900,2266,2529,14594,1281,3774,660,119,878,477,860,2198,3086,89,151,635,386,17877,12952,1886,2393,604,42,14594,9902,2576,866,1218,32
1045,05000US01045,"Dale County, Alabama","Dale County, Alabama",al,50,0,ACSSF,35,,,,,1,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50013,50013,89.12594,561.1497567,9675,996,1110,12,382,382,370,92,795,672,238,2507,852,1267,9537,1006,2102,397,80,751,368,622,1255,1855,74,160,386,481,9675,6630,1877,915,243,10,9537,6380,2084,502,533,38
1047,05000US01047,"Dallas County, Alabama","Dallas County, Alabama",al,50,0,ACSSF,36,,,,,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42743,42743,43.67348,978.6946102,7208,720,713,43,250,371,438,68,464,444,292,1192,1217,996,6770,580,1611,371,195,272,309,449,714,1108,0,69,698,394,7208,5065,915,799,366,63,6770,4520,1364,436,418,32
1049,05000US01049,"DeKalb County, Alabama","DeKalb County, Alabama",al,50,0,ACSSF,37,,,,,1,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71074,71074,91.46134,777.0933302,15265,1697,1458,11,425,418,895,77,1249,968,373,2707,2901,2086,12233,938,2510,471,52,985,328,914,1175,2437,101,60,1778,484,15265,11013,1702,2185,339,26,12233,8394,1964,1153,713,9
1051,05000US01051,"Elmore County, Alabama","Elmore County, Alabama",al,50,0,ACSSF,38,,,,,1,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80321,80321,129.8674,618.4845829,16736,2151,2366,61,1016,487,857,156,1604,1064,59,3180,2022,1713,17383,2385,4044,489,219,1014,438,956,1608,4823,0,3,906,498,16736,10191,3919,2018,608,0,17383,10599,4170,949,1663,2
1053,05000US01053,"Escambia County, Alabama","Escambia County, Alabama",al,50,0,ACSSF,39,,,,,1,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38042,38042,40.25266,945.0803695,6683,659,519,55,334,300,301,32,789,374,84,1216,1128,892,5604,445,1354,480,67,419,350,195,670,1227,13,35,297,52,6683,4897,980,667,127,12,5604,3574,1412,270,346,2
1055,05000US01055,"Etowah County, Alabama","Etowah County, Alabama",al,50,0,ACSSF,40,,,,,1,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104126,104126,194.6315,534.990488,20973,1884,2583,52,753,761,1230,312,1966,1187,103,3686,3093,3363,19180,1735,5142,986,77,1642,688,788,1942,3934,76,154,1482,534,20973,15125,2482,2659,685,22,19180,13593,3531,814,1194,48
1057,05000US01057,"Fayette County, Alabama","Fayette County, Alabama",al,50,0,ACSSF,41,,,,,1,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17019,17019,27.115,627.6599027,3126,266,331,0,127,23,190,11,166,121,60,684,610,537,2930,183,761,136,5,203,30,100,337,719,0,13,221,222,3126,2359,377,259,130,1,2930,2001,528,104,297,0
1059,05000US01059,"Franklin County, Alabama","Franklin County, Alabama",al,50,0,ACSSF,42,,,,,1,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31663,31663,49.95578,633.820586,7436,622,497,9,132,103,357,53,477,359,171,1702,1719,1235,5014,321,1017,333,21,310,167,286,593,976,14,5,701,270,7436,5412,1014,948,62,0,5014,3443,1022,205,344,0
1061,05000US01061,"Geneva County, Alabama","Geneva County, Alabama",al,50,0,ACSSF,43,,,,,1,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26816,26816,46.68457,574.4082459,5973,581,327,50,199,128,322,1,502,456,252,1837,636,682,4757,362,1196,279,5,362,233,134,602,1013,56,96,303,116,5973,3987,735,1092,154,5,4757,3120,934,335,332,36
1063,05000US01063,"Greene County, Alabama","Greene County, Alabama",al,50,0,ACSSF,44,,,,,1,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8798,8798,13.59583,647.1099634,1166,72,98,0,63,13,36,13,28,137,21,273,186,226,1290,57,188,130,0,125,48,76,218,247,0,7,121,73,1166,795,133,162,76,0,1290,860,248,29,153,0
1065,05000US01065,"Hale County, Alabama","Hale County, Alabama",al,50,0,ACSSF,45,,,,,1,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15393,15393,23.9043,643.9427148,2590,228,206,19,109,63,100,10,130,126,156,530,570,343,2620,183,711,178,49,108,104,113,239,623,37,5,210,60,2590,1782,391,331,86,0,2620,1721,584,126,177,12
1067,05000US01067,"Henry County, Alabama","Henry County, Alabama",al,50,0,ACSSF,46,,,,,1,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17270,17270,30.7432,561.7501734,3444,543,321,0,42,68,224,17,397,171,61,614,353,633,3191,351,1054,183,27,287,97,157,262,514,5,81,125,48,3444,2506,362,420,156,0,3191,1893,694,237,360,7
1069,05000US01069,"Houston County, Alabama","Houston County, Alabama",al,50,0,ACSSF,47,,,,,1,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103079,103079,177.7763,579.824203,22739,2635,3240,150,915,1140,967,298,2795,1471,201,4208,1980,2739,21697,2136,5413,977,250,1665,744,1164,3017,4650,83,136,1058,404,22739,16144,2739,2905,896,55,21697,15221,3356,1250,1841,29
1071,05000US01071,"Jackson County, Alabama","Jackson County, Alabama",al,50,0,ACSSF,48,,,,,1,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53012,53012,49.18228,1077.867888,11698,1180,1370,31,312,394,579,37,951,405,439,2243,2046,1711,9236,567,2351,361,141,691,311,458,905,1978,49,33,1090,301,11698,8114,1831,1502,244,7,9236,6043,2113,549,529,2
1073,05000US01073,"Jefferson County, Alabama","Jefferson County, Alabama",al,50,0,ACSSF,49,,,,,1,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658834,658834,592.8625,1111.276241,145998,23785,26642,1072,4364,7337,6345,2145,16047,9923,455,20436,11349,16098,144450,19617,41460,6170,1407,8062,5073,6413,16790,32508,63,938,3510,2439,145998,103999,16541,16211,9046,201,144450,95138,25785,6869,16419,239
1075,05000US01075,"Lamar County, Alabama","Lamar County, Alabama",al,50,0,ACSSF,50,,,,,1,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14268,14268,23.58946,604.8462927,3155,192,428,8,38,146,105,0,167,69,96,708,729,469,2371,229,568,150,32,103,71,92,219,622,1,3,203,78,3155,2387,348,263,126,31,2371,1556,499,81,233,2
1077,05000US01077,"Lauderdale County, Alabama","Lauderdale County, Alabama",al,50,0,ACSSF,51,,,,,1,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92780,92780,138.9552,667.6972527,21617,2529,2717,125,469,1116,1521,290,2386,1342,127,4152,2464,2379,18430,1844,4904,600,163,1573,898,1040,2431,3719,0,223,660,375,21617,15447,3233,2222,693,22,18430,11960,3608,1343,1492,27
1079,05000US01079,"Lawrence County, Alabama","Lawrence County, Alabama",al,50,0,ACSSF,52,,,,,1,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33835,33835,48.98813,690.6775599,7220,641,746,72,196,126,420,17,350,303,106,1645,1582,1016,5656,531,1296,267,25,452,154,324,728,1156,66,93,422,142,7220,5736,759,603,93,29,5656,4016,1005,387,232,16
1081,05000US01081,"Lee County, Alabama","Lee County, Alabama",al,50,0,ACSSF,53,,,,,1,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147790,147790,243.2613,607.5359361,35567,4944,8146,21,1217,2149,1257,459,3076,2433,292,5091,3740,2742,31326,3395,9792,1122,230,2382,611,1637,3740,5871,69,197,1705,575,35567,23725,6680,2986,2132,44,31326,19184,7815,1532,2766,29
